,name,affiliation,race,status,devil_fruit,origin,haki,bounty,devil_fruit_type
305,Clou D. Clover,Ohara Archaeologists,Human,Deceased,Unknown,West Blue (Ohara),,,Unknown
306,Coburn,Shandia,Moon people - Shandian,Deceased,Unknown,Grand Line (Jaya),,,Unknown
307,Cocoa,Fake Straw Hat Crew,Human,Alive,Unknown,East Blue,,,Unknown
308,Cocox,Island of Rare Animals,Animal,Alive,Unknown,East Blue (Island of Rare Animals),,,Unknown
309,Colon,,Giant-Human hybrid,Alive,Unknown,,,,Unknown
310,Colscon,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
311,Columbus,Yonta Maria Grand Fleet,Human,Alive,Unknown,,,,Unknown
312,Comil,Marines,Human,Alive,Unknown,,['Armament'],500000000,Unknown
313,Compo,Kid Pirates,Human,Unknown,Unknown,,,,Unknown
314,Concelot,Mokomo Dukedom,Mink,Alive,Unknown,Grand Line (Mokomo Dukedom),,,Unknown
315,Conis,Pumpkin Cafe,Moon people - Skypiean,Alive,Unknown,Grand Line (Skypiea),,,Unknown
316,Conney,,Human,Alive,Unknown,South Blue (Sorbet Kingdom),,,Unknown
317,Corgi,World Government,Human,Alive,Unknown,,,,Unknown
318,Coribou,Caribou Pirates,Human,Alive,Unknown,North Blue,,190000000,Unknown
319,Cornelia,Spade Pirates,Human,Alive,Unknown,,,,Unknown
320,Cosette,Germa Kingdom,Human,Alive,Unknown,,,,Unknown
321,Cosmo,Automata,Robot,Alive,Unknown,,,,Unknown
322,Cosmos,Kuja,Human,Alive,Unknown,Calm Belt (Amazon Lily),['Armament'],,Unknown
323,Cotton,Tontatta Kingdom,Dwarf,Alive,Unknown,,,,Unknown
324,Couran,Cameron Kingdom,Human,Alive,Unknown,,,,Unknown
325,Cowboy,Arabasta Kingdom,Animal,Alive,Unknown,,,,Unknown
326,Crocodile,Cross Guild,Human,Alive,Suna Suna no Mi,Grand Line,"['Observation', 'Armament']",1965000000,Logia
327,Crocus,Laboon,Human,Alive,Unknown,Grand Line,['Observation'],,Unknown
328,Curiel,Whitebeard Pirates,Human,Alive,Unknown,Grand Line,,,Unknown
329,Curly Dadan,Dadan Family,Human,Alive,Unknown,East Blue,,7800000,Unknown
330,Cyrano,D.R.,Human,Deceased,Unknown,,,,Unknown
331,D.R.,Cyrano,Human,Deceased,Unknown,,,1800000,Unknown
332,Dachoman,Beasts Pirates,Human,Alive,Ostrich SMILE,,,,Zoan
333,Daddy Dee,World Government,Human,Alive,Unknown,East Blue (Conomi Islands),,,Unknown
334,Dagama,Prodence Kingdom,Human,Alive,Unknown,,,,Unknown
335,Dago,Franky Family,Human,Alive,Unknown,,,,Unknown
336,Daidalos,,Animal,Deceased,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
337,Daifugo,Beasts Pirates,Human,Alive,Scorpion SMILE,,,,Zoan
338,Daigin,Marines,Human,Alive,Unknown,West Blue,,100000000,Unknown
339,Daikoku,Beasts Pirates,Human,Alive,Unknown,Grand Line (Wano Country),,,Unknown
340,Daikon,Tontatta Kingdom,Dwarf,Alive,Unknown,,,,Unknown
341,Daisy,Kuja,Human,Alive,Unknown,Calm Belt (Amazon Lily),['Armament'],,Unknown
342,Dalmatian,Marines,Human,Alive,Unnamed Dalmatian Zoan,,['Armament'],500000000,Zoan
343,Dalton,Sakura Kingdom,Human,Alive,"Ushi Ushi no Mi, Model: Bison",Grand Line (Drum Kingdom),,,Zoan
344,Damask,,Human,Alive,Unknown,,,,Unknown
345,Daruma,New Fish-Man Pirates,Fish-man,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
346,Dashiteyaro,Kurozumi Family,Human,Alive,Unknown,,,,Unknown
347,Davy D. Jones,Davy Family,Human,Deceased,Unknown,,,,Unknown
348,Davy D. Xebec [Rocks],Rocks Pirates,Human,Deceased,Unknown,West Blue (God Valley),"['Conquerors', 'Armament']",,Unknown
349,Daz Bonez [Mr. 1],Cross Guild,Human,Alive,Supa Supa no Mi,West Blue,,75000000,Paramecia
350,DDT,Giant Warrior Pirates,Giant,Alive,Unknown,,,,Unknown
351,Decalvan Brothers,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
352,Deigoro,,Human,Alive,Unknown,,,,Unknown
353,Delacuaji,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
354,Dellinger,Donquixote Pirates,Human-Fish-man hybrid,Alive,Unknown,North Blue,,15000000,Unknown
355,Demalo Black,Fake Straw Hat Crew,Human,Alive,Unknown,East Blue,,26000000,Unknown
356,Demoni Aiyo,,Human,Alive,Unknown,,,,Unknown
357,Den,,Merfolk,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
358,Denjiro,Kouzuki Family,Human,Alive,Unknown,Grand Line (Wano Country),"['Observation', 'Armament']",,Unknown
359,Devil Dias,Acumate Pirates,Human,Unknown,Unknown,,,60000000,Unknown
360,Diamante,Donquixote Pirates,Human,Alive,Hira Hira no Mi,North Blue,"['Observation', 'Armament']",99000000,Paramecia
361,Didit,Goa Kingdom,Human,Alive,Unknown,,,,Unknown
362,Diesel,Big Mom Pirates,Longarm,Alive,Unknown,,,,Unknown
363,Diez Barrels,Barrels Pirates,Human,Deceased,Unknown,,,,Unknown
364,Dirt Boss,Ukkari Hot-Spring Island,Animal,Alive,Unknown,,,,Unknown
365,Disc J,Kid Pirates,Human,Unknown,Unknown,,,,Unknown
366,Disco,Donquixote Doflamingo (former),Human,Alive,Unknown,Grand Line,,,Unknown
367,Dive,Kid Pirates,Human,Unknown,Unknown,,,,Unknown
368,Dobby Ibadonbo,,Human,Unknown,Unknown,,,,Unknown
369,Doberman,Marines,Human,Alive,Unknown,,['Armament'],500000000,Unknown
370,Dobon,Beasts Pirates,Human,Alive,Hippopotamus SMILE,,,,Zoan
371,Doc Q,Blackbeard Pirates,Human,Alive,Shiku Shiku no Mi,North Blue,,"At least 72,000,000",Paramecia
372,Dogra,Dadan Family,Human,Alive,Unknown,East Blue,,,Unknown
373,Dogya,Spade Pirates,Human,Alive,Unknown,,,,Unknown
374,Doha Ittanka II,,Human,Unknown,Unknown,,,,Unknown
375,Doll,Marines,Human,Alive,Unknown,,['Armament'],500000000,Unknown
376,Doma,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
377,Domino,Impel Down,Human,Alive,Unknown,Grand Line,,,Unknown
378,Donannoyo,Beasts Pirates,Human,Alive,Unknown,,,,Unknown
379,Donovan,Foxy Pirates (former),Human,Alive,Unknown,,,,Unknown
380,Donquino,Roger Pirates,Human,Unknown,Unknown,,,,Unknown
381,Donquixote Doflamingo,Donquixote Pirates,Human,Alive,Ito Ito no Mi (Awakened),Red Line (Mary Geoise),"['Conquerors', 'Observation', 'Armament']",340000000,Paramecia
382,Donquixote Homing,World Government (Former),Human,Deceased,Unknown,,,,Unknown
383,Donquixote Mjosgard,World Government,Human,Deceased,Unknown,,,,Unknown
384,Donquixote Rosinante,Marines,Human,Deceased,Nagi Nagi no Mi,Red Line (Mary Geoise),,,Paramecia
385,Donquixote Shivercalero,World Government,Human,Alive,Unknown,,,,Unknown
386,Doran,,Human,Alive,Unknown,,,,Unknown
387,Doringo,Roger Pirates,Human,Unknown,Unknown,,,,Unknown
388,Dorry,Giant Warrior Pirates,Giant,Alive,Unknown,Grand Line (Elbaph),,1800000000,Unknown
389,Dosun,New Fish-Man Pirates,Fish-man,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
390,Dotaku,Kouzuki Family,Human,Alive,Unknown,,,,Unknown
391,Doubt Brothers,Beasts Pirates,Human,Alive,Owl SMILE,,,,Zoan
392,Dracule Mihawk,Cross Guild,Human,Alive,Unknown,,"['Observation', 'Armament']",3590000000,Unknown
393,Dragon Number Thirteen,,Animal,Deceased,Unknown,,,,Unknown
394,Dragon Number Twenty-One,Caesar Clown (former),Animal,Unknown,Unknown,,,,Unknown
395,Draw,Marines,Human,Alive,Unknown,,['Armament'],500000000,Unknown
396,Drip,Fake Straw Hat Crew,Human,Alive,Unknown,East Blue,,,Unknown
397,Drophy [Miss Merry Christmas],New Spiders Cafe,Human,Alive,Mogu Mogu no Mi,Grand Line,,14000000,Zoan
398,Drug Peclo,Underworld,Human,Alive,Unknown,,,,Unknown
399,Ducky Bree,Spade Pirates,Human,Alive,Unknown,,,,Unknown
400,Duval,Rosy Life Riders,Human,Alive,Unknown,Grand Line,,,Unknown
401,Eddy,Bellamy Pirates,Human,Unknown,Unknown,North Blue (Notice),,,Unknown
402,Edison,Marines (SSG),Robot,Alive,Unknown,Grand Line (Egghead),,,Unknown
403,Edward Newgate [Whitebeard],Whitebeard Pirates,Human,Deceased,Gura Gura no Mi,Grand Line (Sphinx),"['Conquerors', 'Observation', 'Armament']",5046000000,Paramecia
404,Edward Weevil,Seven Warlords (former),Human,Alive,Unknown,Grand Line,"['Observation', 'Armament']",480000000,Unknown
405,Egana,,Human,Alive,Unknown,,,,Unknown
406,Eggplant Soldier,Big Mom Pirates,Human,Alive,Unknown,,,,Unknown
407,Eikon,Tontatta Kingdom,Dwarf,Alive,Unknown,,,,Unknown
408,Eiri,,Giant,Unknown,Unknown,,,,Unknown
409,Elbow,,Giant,Unknown,Unknown,,,,Unknown
410,Elizabello II,Prodence Kingdom,Human,Alive,Unknown,Grand Line (Prodence Kingdom),,,Unknown
411,Elmy,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
412,Emet,,Robot,Unknown,Unknown,,,,Unknown
413,Emma,Kid Pirates,Human,Unknown,Unknown,,,,Unknown
414,Emporio Ivankov,Revolutionary Army,Human,Alive,Horu Horu no Mi,Grand Line (Kamabakka Kingdom),,"At least 100,000,000",Paramecia
415,Enel,Automata,Moon people - Birkan,Alive,Goro Goro no Mi,Sky Islands (Birka),['Observation'],,Logia
416,Enishida,Kuja,Human,Alive,Unknown,Calm Belt (Amazon Lily),['Armament'],,Unknown
417,Epoida,Whitebeard Pirates,Human,Alive,Unnamed Caterpillar Zoan,,,,Zoan
418,Époni,Germa Kingdom,Human,Alive,Unknown,,,,Unknown
419,Erik,Rebel Army (former),Human,Alive,Unknown,,,,Unknown
420,Erio,Roger Pirates,Human,Unknown,Unknown,,,,Unknown
421,Eris,Davy Family,Human,Deceased,Unknown,,,,Unknown
422,Esta,,Human,Alive,Unknown,,,,Unknown
423,Estrid,Warland Kingdom,Giant,Deceased,Unknown,Grand Line (Elbaph),,,Unknown
424,Ethanbaron V. Nusjuro,Five Elders,Human,Alive,Unknown,,"['Conquerors', 'Observation', 'Armament']",,Unknown
425,Ettara Chaunkai,,Human,Alive,Unknown,,,,Unknown
426,Eustass Kid,Kid Pirates,Human,Unknown,Jiki Jiki no Mi (Awakened),South Blue (Kutsukku Island),"['Conquerors', 'Observation', 'Armament']",3000000000,Paramecia
427,Farafra,Rebel Army (former),Human,Alive,Unknown,,,,Unknown
428,Farul,Beautiful Pirates,Animal,Alive,Unknown,,,,Unknown
429,Faust,Hawkins Pirates,Mink,Alive,Unknown,North Blue,,,Unknown
430,Fen Bock,Caesar Clown (former),Human,Alive,Unknown,,,,Unknown
431,Figarland Garling,Five Elders,Human,Alive,Unknown,,,,Unknown
432,Figarland Shamrock,Knights of God,Human,Alive,Unknown,West Blue (God Valley),,,Unknown
433,Fillonce,Mermaid Café,Merfolk,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
434,Finamore,Spade Pirates,Human,Alive,Unknown,,,,Unknown
435,Fishbonen,Marines ,Human,Alive,Unknown,,,,Unknown
436,Fisher Tiger,Sun Pirates,Fish-man,Deceased,Unknown,Grand Line (Ryugu Kingdom),,230000000,Unknown
437,Flapper,Tontatta Kingdom,Dwarf,Alive,Unknown,,,,Unknown
438,Flare,Gérard,Human,Deceased,Unknown,,,,Unknown
439,Footbianco,Franky Family,Human,Alive,Unknown,,,,Unknown
440,Forest Boss,Ukkari Hot-Spring Island,Animal,Alive,Unknown,,,,Unknown
441,Forliewbs,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
442,Fossa,Whitebeard Pirates,Human,Alive,Unknown,North Blue,,,Unknown
443,Fourtricks,Beasts Pirates,Human,Alive,Chicken SMILE,,,,Zoan
444,Foxy,Foxy Pirates,Human,Alive,Noro Noro no Mi,South Blue,,24000000,Paramecia
445,Francois,Newkama Land (former),Human,Alive,Unknown,,,,Unknown
446,Cutty Flam [Franky],Straw Hat Pirates,Human,Alive,Unknown,South Blue,,394000000,Unknown
447,Fuga,Beasts Pirates (Numbers),Artificial Giant,Alive,Horse SMILE (4),Grand Line (Punk Hazard),,,Zoan
448,Fugar,Social Club,Human,Alive,Unknown,,,,Unknown
449,Fugetsu Kisaburo,,Human,Unknown,Unknown,,,,Unknown
450,Fugetsu Omusubi,,Human,Deceased,Unknown,Grand Line (Wano Country),,,Unknown
451,Fujin,Beasts Pirates,Human,Alive,Unknown,Grand Line (Wano Country),,,Unknown
452,Fukaboshi,Ryugu Kingdom,Merfolk,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
453,Fukumi,,Human,Deceased,Unknown,,,,Unknown
454,Fukurokuju,Kurozumi Family,Human,Unknown,Unknown,Grand Line (Wano Country),,,Unknown
455,Fukurou,CP0,Human,Alive,Unknown,Grand Line,,,Unknown
456,Fullbody,Marines,Human,Alive,Unknown,North Blue,,1000000,Unknown
457,Funkfreed,CP0,Object,Alive,Zou Zou no Mi,,,,Zoan
458,Furika,,Human,Alive,Unknown,,,,Unknown
459,Furrari,Nagagutsu Kingdom,Human,Alive,Unknown,,,,Unknown
460,Fuza,God's Army (former),Animal,Alive,Unknown,,,,Unknown
461,Gab,Red Hair Pirates,Human,Alive,Unknown,,,,Unknown
462,Gaburu,Reformation Army,Human,Deceased,Unknown,,,,Unknown
463,Gaimon,,Human,Alive,Unknown,East Blue,,,Unknown
464,Gal,Marines ,Human,Alive,Unknown,,,,Unknown
465,Galaxy,Automata,Robot,Alive,Unknown,,,,Unknown
466,Galdino [Mr. 3],Cross Guild,Human,Alive,Doru Doru no Mi,South Blue,,24000000,Paramecia
467,Gally,Gally Pirates,Human,Alive,Unknown,,,,Unknown
468,Gama Pyonnosuke,,Animal,Alive,Unknown,,,,Unknown
469,Gambia,Barto Club,Human,Unknown,Unknown,,,67000000,Unknown
470,Gambo,Revolutionary Army,Human,Alive,Unknown,,,,Unknown
471,Gan Fall,Skypiea,Moon people - Skypiean,Alive,Unknown,Grand Line (Skypiea),,,Unknown
472,Gancho,Tontatta Kingdom,Dwarf,Alive,Unknown,,,,Unknown
473,Gangaru,Beasts Pirates,Human,Alive,Unknown,,,,Unknown
474,Gantonio,Giant Warrior Pirates,Giant,Alive,Unknown,,,,Unknown
475,Ganryu,Spade Pirates,Longarm,Alive,Unknown,,,,Unknown
476,Ganryu,Roger Pirates,Human,Unknown,Unknown,,,,Unknown
477,Ganzui,Thriller Bark Pirates,Human,Deceased,Bomu Bomu no Mi,,,,Paramecia
478,Garudan,Beasts Pirates,Human,Alive,Unknown,,,,Unknown
479,Gatherine,World Government,Human,Unknown,Unknown,,,,Unknown
480,Gattenshochinosukeo,,Human,Alive,Unknown,,,,Unknown
481,Gatz,Corrida Colosseum,Human,Alive,Unknown,,,,Unknown
482,Gazelleman,Beasts Pirates,Human,Alive,Gazelle SMILE,,,,Unknown
483,Gedatsu,Ukkari Hot-Spring Island,Moon people - Birkan,Alive,Unknown,Sky Islands (Birka),['Observation'],,Unknown
484,Gem [Mr. 5],New Spiders Cafe,Human,Alive,Bomu Bomu no Mi,South Blue,,10000000,Paramecia
485,Genbo,God's Guards,Moon people - Shandian,Alive,Unknown,Sky Islands (Skypiea),,,Unknown
486,Genrin,,Human,Alive,Unknown,,,,Unknown
487,Genzo,Cocoyasi Village,Human,Alive,Unknown,East Blue (Conomi Islands),,,Unknown
488,George Black,,Human,Unknown,Unknown,,,"At least 100,000,000",Unknown
489,George Mach,Foxy Pirates (former),Human,Alive,Unknown,,,,Unknown
490,Gerd,New Giant Warrior Pirates,Giant,Alive,Unknown,Grand Line (Elbaph),,,Unknown
491,Gerotini,Puddle Pirates,Human,Alive,Unknown,,,,Unknown
492,Giberson,Underworld,Human,Alive,Unknown,,,,Unknown
493,Gig,Kid Pirates,Human,Unknown,Unknown,,,,Unknown
494,Gill Bastar,Thriller Bark Pirates,Human,Deceased,Horo Horo no Mi,,,,Paramecia
495,Gimlet,,Human,Deceased,Unknown,,,,Unknown
496,Gin,Krieg Pirates,Human,Alive,Unknown,East Blue,,12000000,Unknown
497,Gina,Foxy Pirates (former),Human,Alive,Unknown,,,,Unknown
498,Ginko,,Human,Alive,Unknown,,,,Unknown
499,Ginnosuke,,Human,Alive,Unknown,,,,Unknown
500,Ginny,Revolutionary Army,Human,Deceased,Unknown,Grand Line (Porco Kingdom),,190000000,Unknown
501,Ginrummy,Beasts Pirates,Human,Unknown,Squirrel SMILE,,,,Zoan
502,Giolla,Donquixote Pirates,Human,Alive,Ato Ato no Mi,North Blue,,,Paramecia
503,Gion [Momousagi],Marines,Human,Alive,Unknown,,['Armament'],500000000,Unknown
504,Giovanni,Mokomo Dukedom,Mink,Alive,Unknown,Grand Line (Mokomo Dukedom),,,Unknown
505,Giro Chintaro,,Human,Alive,Unknown,,,,Unknown
506,Gismonda,CP0,Human,Alive,Unknown,,,,Unknown
507,Gladius,Donquixote Pirates,Human,Alive,Pamu Pamu no Mi,North Blue,,31000000,Paramecia
508,Gloriosa,Kuja,Human,Alive,Unknown,Calm Belt (Amazon Lily),['Armament'],,Unknown
509,Glove,Marines,Human,Alive,Unknown,,,,Unknown
510,Glutbunny [Ear God],,Animal,Deceased,Unknown,,,,Unknown
511,Gode,God's Army (former),Moon people - Birkan,Unknown,Unknown,,,,Unknown
512,Goki,Beasts Pirates (Numbers),Artificial Giant,Alive,Unknown,Grand Line (Punk Hazard),,,Unknown
513,Gol D. Roger,Roger Pirates,Human,Deceased,Unknown,East Blue (Loguetown),"['Conquerors', 'Observation', 'Armament']",5564800000,Unknown
514,Goldberg,New Giant Warrior Pirates,Giant,Alive,Unknown,Grand Line (Elbaph),,,Unknown
515,Goldfish Princess,Goldfish Empire,Animal,Alive,Unknown,,,,Unknown
516,Gomorrah,Franky Family,Animal,Alive,Unknown,,,,Unknown
517,Gonbe,Chimney,Animal,Alive,Unknown,,,,Unknown
518,Goo,,Human,Alive,Unknown,,,,Unknown
519,Googly-Eyed,Poseidon,Animal,Alive,Unknown,,,,Unknown
520,Gorilla,Marines,Human,Alive,Unknown,,,100000000,Unknown
521,Gorishiro,Beasts Pirates,Devil Fruit creation,Alive,Unknown,,,,Unknown
522,Goro,Ukkari Hot-Spring Island,Human,Alive,Unknown,,,,Unknown
523,Gorobe,,Human,Unknown,Unknown,,,,Unknown
524,Gotti,Fire Tank Pirates,Human,Alive,Unknown,West Blue,,90000000,Unknown
525,Grabar,Tontatta Kingdom,Dwarf,Alive,Unknown,,,,Unknown
526,Gram,Ohara Archaeologists,Human,Deceased,Unknown,,,,Unknown
527,Great Michael,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
528,Guernika,CP0,Human,Deceased,Unknown,West Blue,"['Observation', 'Armament']",,Unknown
529,Guillotine,Marines,Human,Alive,Unknown,,['Armament'],500000000,Unknown
530,Gurutaro,Mimawarigumi,Human,Unknown,Unknown,,,,Unknown
531,Gyaro,Macro Pirates,Fish-man,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
532,Gyogyo,Bonney Pirates,Human,Alive,Unknown,South Blue,,,Unknown
533,Gyoro,Thriller Bark Pirates,Devil Fruit creation,Deceased,Unknown,,,,Unknown
534,Gyoru,,Human,Alive,Unknown,East Blue (Goa Kingdom),,,Unknown
535,Gyro,Gyro Pirates,Human,Alive,Unknown,,,73000000,Unknown
536,Hack ,Revolutionary Army,Fish-man,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
537,Hack,Ohara Archaeologists,Human,Deceased,Unknown,,,,Unknown
538,Hajrudin,New Giant Warrior Pirates,Giant,Alive,Unknown,Grand Line (Elbaph),,,Unknown
539,Hakowan,Wapol,Animal,Alive,Unknown,,,,Unknown
540,Hakugan,Heart Pirates,Human,Unknown,Unknown,North Blue (Welbems Island),,,Unknown
541,Ham Burger,Ballywood Kingdom,Human,Alive,Unknown,,,,Unknown
542,Hamburg,Foxy Pirates,Human,Alive,Unknown,,,,Unknown
543,Hamlet,Beasts Pirates,Human,Alive,Giraffe SMILE,,,,Zoan
544,Hammond,New Fish-Man Pirates,Fish-man,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
545,Han,,Human,Alive,Unknown,,,,Unknown
546,Hana,,Human,Unknown,Unknown,,,,Unknown
547,Hanafuda,Seven Warlords (former),Human,Unknown,Unknown,,,,Unknown
548,Hangan,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
549,Hanger,Robecca Hanberg,Human,Alive,Unknown,East Blue,,,Unknown
550,Hanji,,Human,Alive,Unknown,,,,Unknown
551,Hanji,,Human,Alive,Unknown,,,,Unknown
552,Hannyabal,Impel Down,Human,Alive,Unknown,South Blue,,,Unknown
553,Hanzo,Beasts Pirates,Human,Alive,Unknown,Grand Line (Wano Country),,,Unknown
554,Happa Yamao,,Human,Alive,Unknown,,,,Unknown
555,Happygun,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
556,Hara,,Human,Alive,Unknown,,,,Unknown
557,Harald,Warland Kingdom,Giant,Deceased,Unknown,Grand Line (Elbaph),['Conquerors'],,Unknown
558,Haredas,,Moon people - Birkan,Alive,Unknown,Sky Islands (Birka),,,Unknown
559,Hareji,,Human,Alive,Unknown,,,,Unknown
560,Haritsu Kendiyo,,Human,Unknown,Unknown,,,,Unknown
561,Haruta,Whitebeard Pirates,Human,Alive,Unknown,South Blue,,,Unknown
562,Hasami,Ukkari Hot-Spring Island,Animal,Alive,Unknown,,,,Unknown
563,Hatcha,Beasts Pirates (Numbers),Artificial Giant,Alive,Unknown,Grand Line (Punk Hazard),,,Unknown
564,Hatchan,Takoyaki 8,Fish-man,Alive,Unknown,,,8000000,Unknown
565,Hatsume,Beasts Pirates,Human,Alive,Unknown,,,,Unknown
566,Hattori,CP0,Animal,Alive,Unknown,,,,Unknown
567,Hawkman,Beasts Pirates,Human,Alive,Hawk SMILE,,,,Zoan
568,Heat,Kid Pirates,Human,Unknown,Unknown,South Blue (Kutsukku Island),,,Unknown
569,Helmeppo,Marines (SWORD),Human,Alive,Unknown,,['Armament'],"100,000,000 [Cross Guild]",Unknown
570,Heppoko,Alvida Pirates (disbanded),Human,Alive,Unknown,East Blue,,,Unknown
571,Hera,,Human,Alive,Unknown,,,,Unknown
572,Hera,Big Mom Pirates,Object,Unknown,Unknown,Grand Line (Onigashima),,,Unknown
573,Heracles,,Human,Alive,Unknown,South Blue,,,Unknown
574,Herb,Shandia,Moon people - Shandian,Deceased,Unknown,,,,Unknown
575,Hewitt,Bellamy Pirates,Human,Unknown,Unknown,North Blue (Notice),,,Unknown
576,Hibari,Marines (SWORD),Human,Alive,Unknown,North Blue,"['Observation', 'Armament']","200,000,000 [Cross Guild]",Unknown
577,Hidayu,Kouzuki Family,Human,Alive,Unknown,,,,Unknown
578,Higuma,Higuma Bandits,Human,Deceased,Unknown,East Blue,,8000000,Unknown
579,Hihimaru,Beasts Pirates,Animal,Alive,Unknown,,,,Unknown
580,Hikkomitsukumai,Kurozumi Family,Human,Alive,Unknown,,,,Unknown
581,Hikoichi,Arabasta Kingdom,Animal,Alive,Unknown,,,,Unknown
582,Hildon,Thriller Bark Pirates,Devil Fruit creation,Deceased,Unknown,,,,Unknown
583,Hilmungardr,,Animal,Alive,Unknown,,,,Unknown
584,Himuro,Beasts Pirates,Human,Alive,Unknown,,,,Unknown
585,Hina,Marines,Human,Alive,Ori Ori no Mi,West Blue,,200000000,Paramecia
586,Hinokizu,,Human,Alive,Unknown,,,,Unknown
587,Hip,Kid Pirates,Human,Unknown,Unknown,,,,Unknown
588,Hippan Natte,Beasts Pirates,Human,Alive,Unknown,,,,Unknown
589,Hippie,Endurance Curry Pirates,Human,Alive,Unknown,,,,Unknown
590,Hippo Gentleman,Thriller Bark Pirates,Animal,Deceased,Unknown,,,,Unknown
591,Hiramera,Mermaid Café,Merfolk,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
592,Hiriluk,,Human,Deceased,Unknown,Grand Line (Drum Kingdom),,,Unknown
593,Hiro Gomon,Endurance Curry Pirates,Human,Alive,Unknown,,,,Unknown
594,Hiroshi,,Human,Alive,Unknown,,,,Unknown
595,Hitsugisukan,Mokomo Dukedom,Mink,Unknown,Unknown,,,,Unknown
596,Ho,Arabasta Kingdom,Human,Alive,Unknown,,,,Unknown
597,Hocha,Ohara Archaeologists,Human,Deceased,Unknown,,,,Unknown
598,Hocker,Chouchou,Human,Deceased,Unknown,East Blue (Orange Town),,,Unknown
599,Hody Jones,New Fish-Man Pirates,Fish-man,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
600,Hoe,Ryugu Kingdom,Animal,Alive,Unknown,,,,Unknown
601,Hogback,Thriller Bark Pirates,Human,Alive,Unknown,West Blue,,,Unknown
602,Hoichael,,Human,Alive,Unknown,,,,Unknown
603,Hoisassa,Kurozumi Family,Human,Alive,Horse SMILE (2),,,,Zoan
604,Holedem,Beasts Pirates,Human,Alive,Lion SMILE,Grand Line (Wano Country),,,Unknown
605,Holy,God's Army (former),Animal,Alive,Unknown,,,,Unknown
606,Home,Mt. Atama Thieves,Animal,Alive,Unknown,,,,Unknown
607,Hongo,Red Hair Pirates,Human,Alive,Unknown,,,,Unknown
608,Honner,Lvneel Kingdom,Human,Deceased,Unknown,North Blue (Lvneel Kingdom),,,Unknown
609,Hop,Kid Pirates,Human,Unknown,Unknown,,,,Unknown
610,Horseman,Beasts Pirates,Human,Alive,Horse SMILE (3),,,,Zoan
611,Hotei,Beasts Pirates,Human,Alive,Unknown,,,,Unknown
612,Hotori,God's Army (former),Moon people - Birkan,Unknown,Unknown,Sky Islands (Birka),['Observation'],,Unknown
613,Hototogisu,Marines,Human,Alive,Unknown,,['Armament'],500000000,Unknown
614,Hound,Marines,Human,Alive,"Inu Inu no Mi, Model: Hound",,['Armament'],500000000,Zoan
615,House,Kid Pirates,Human,Unknown,Unknown,,,,Unknown
616,Hublot,Spade Pirates,Human,Alive,Unknown,,,,Unknown
617,Humphrey,Sabaody Archipelago,Human,Alive,Unknown,,,,Unknown
618,Hustle,Krieg Pirates,Human,Alive,Unknown,East Blue,,,Unknown
619,Hyota,Arabasta Kingdom,Human,Deceased,Unknown,,,,Unknown
620,Hyougoro,Hyougoro Family (former),Human,Alive,Unknown,,"['Observation', 'Armament']",,Unknown
621,Hyoutauros,Caesar Clown (former),Human,Alive,Unknown,,,,Unknown
622,Hyouzou,New Fish-Man Pirates,Merfolk,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
623,Ibiributsu,Beasts Pirates,Human,Alive,Unknown,,,,Unknown
624,Ibusu,Doerena Kingdom,Human,Alive,Unknown,,,,Unknown
625,Iceburg,Galley-La Company,Human,Alive,Unknown,Grand Line (Water 7),,,Unknown
626,Ichika,,Merfolk,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
627,Ida,,Giant,Deceased,Unknown,South Blue (Samuwanai Island),,,Unknown
628,Ideaman,Krieg Pirates,Human,Alive,Unknown,East Blue,,,Unknown
629,Ideo,Ideo Pirates,Longarm,Alive,Unknown,Grand Line,,,Unknown
630,Igaram,Arabasta Kingdom,Human,Alive,Unknown,Grand Line (Arabasta Kingdom),,,Unknown
631,Ikaros Much,New Fish-Man Pirates,Fish-man,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
